latitude,longitude,elevation,distance,frequency,ht,hr,distance_x,distance_y,tantennaelev,clutterheight,pathloss,tlatitude,tlongitude
33.65666667,35.7475,945,1.006665442,868,1.5,12,-0.00946333,0.00148,943,4,104,33.66613,35.74602
33.65666667,35.7475,945,1.006665442,868,1.5,12,-0.00946333,0.00148,943,4,103,33.66613,35.74602
33.65666667,35.7475,945,1.006665442,868,1.5,12,-0.00946333,0.00148,943,4,102,33.66613,35.74602
33.65666667,35.7475,945,1.006665442,868,1.5,12,-0.00946333,0.00148,943,4,104,33.66613,35.74602
33.65666667,35.7475,945,0.165171351,868,1.5,12,-0.00131333,-0.00138,936.4,4,95,33.65798,35.74888
33.65666667,35.7475,945,0.165171351,868,1.5,12,-0.00131333,-0.00138,936.4,4,89,33.65798,35.74888
33.65666667,35.7475,945,0.165171351,868,1.5,12,-0.00131333,-0.00138,936.4,4,92,33.65798,35.74888
33.65666667,35.7475,945,0.165171351,868,1.5,12,-0.00131333,-0.00138,936.4,4,90,33.65798,35.74888
33.65666667,35.7475,945,0.165171351,868,1.5,12,-0.00131333,-0.00138,936.4,4,88,33.65798,35.74888
33.65666667,35.7475,945,0.165171351,868,1.5,12,-0.00131333,-0.00138,936.4,4,87,33.65798,35.74888
33.65666667,35.7475,945,0.165171351,868,1.5,12,-0.00131333,-0.00138,936.4,4,91,33.65798,35.74888
33.65666667,35.7475,945,0.165171351,868,1.5,12,-0.00131333,-0.00138,936.4,4,97,33.65798,35.74888
33.65666667,35.7475,945,0.165171351,868,1.5,12,-0.00131333,-0.00138,936.4,4,91,33.65798,35.74888
33.65666667,35.7475,945,0.165171351,868,1.5,12,-0.00131333,-0.00138,936.4,4,91,33.65798,35.74888
33.65666667,35.7475,945,0.165171351,868,1.5,12,-0.00131333,-0.00138,936.4,4,95,33.65798,35.74888
33.65666667,35.7475,945,0.165171351,868,1.5,12,-0.00131333,-0.00138,936.4,4,88,33.65798,35.74888
33.65666667,35.7475,945,0.165171351,868,1.5,12,-0.00131333,-0.00138,936.4,4,93,33.65798,35.74888
33.65666667,35.7475,945,0.165171351,868,1.5,12,-0.00131333,-0.00138,936.4,4,90,33.65798,35.74888
33.65666667,35.7475,945,0.165171351,868,1.5,12,-0.00131333,-0.00138,936.4,4,89,33.65798,35.74888
33.65666667,35.7475,945,0.165171351,868,1.5,12,-0.00131333,-0.00138,936.4,4,89,33.65798,35.74888
33.65666667,35.7475,945,0.165171351,868,1.5,12,-0.00131333,-0.00138,936.4,4,92,33.65798,35.74888
33.65666667,35.7475,945,0.165171351,868,1.5,12,-0.00131333,-0.00138,936.4,4,89,33.65798,35.74888
33.65666667,35.7475,945,0.165171351,868,1.5,12,-0.00131333,-0.00138,936.4,4,93,33.65798,35.74888
33.65666667,35.7475,945,0.165171351,868,1.5,12,-0.00131333,-0.00138,936.4,4,92,33.65798,35.74888
33.65666667,35.7475,945,0.165171351,868,1.5,12,-0.00131333,-0.00138,936.4,4,91,33.65798,35.74888
33.65666667,35.7475,945,0.165171351,868,1.5,12,-0.00131333,-0.00138,936.4,4,91,33.65798,35.74888
33.65666667,35.7475,945,0.165171351,868,1.5,12,-0.00131333,-0.00138,936.4,4,90,33.65798,35.74888
33.65666667,35.7475,945,0.165171351,868,1.5,12,-0.00131333,-0.00138,936.4,4,91,33.65798,35.74888
33.65666667,35.7475,945,0.165171351,868,1.5,12,-0.00131333,-0.00138,936.4,4,91,33.65798,35.74888
33.65666667,35.7475,945,0.779466716,868,1.5,12,0.00233667,-0.00761,898.6,4,101,33.65433,35.75511
33.65666667,35.7475,945,0.779466716,868,1.5,12,0.00233667,-0.00761,898.6,4,101,33.65433,35.75511
33.65666667,35.7475,945,0.779466716,868,1.5,12,0.00233667,-0.00761,898.6,4,105,33.65433,35.75511
33.65666667,35.7475,945,0.779466716,868,1.5,12,0.00233667,-0.00761,898.6,4,99,33.65433,35.75511
33.65666667,35.7475,945,0.779466716,868,1.5,12,0.00233667,-0.00761,898.6,4,99,33.65433,35.75511
33.65666667,35.7475,945,0.779466716,868,1.5,12,0.00233667,-0.00761,898.6,4,100,33.65433,35.75511
33.65666667,35.7475,945,0.779466716,868,1.5,12,0.00233667,-0.00761,898.6,4,101,33.65433,35.75511
33.65666667,35.7475,945,0.779466716,868,1.5,12,0.00233667,-0.00761,898.6,4,101,33.65433,35.75511
33.65666667,35.7475,945,0.779466716,868,1.5,12,0.00233667,-0.00761,898.6,4,102,33.65433,35.75511
33.65666667,35.7475,945,0.779466716,868,1.5,12,0.00233667,-0.00761,898.6,4,102,33.65433,35.75511
33.65666667,35.7475,945,0.779466716,868,1.5,12,0.00233667,-0.00761,898.6,4,102,33.65433,35.75511
33.65666667,35.7475,945,0.779466716,868,1.5,12,0.00233667,-0.00761,898.6,4,101,33.65433,35.75511
33.65666667,35.7475,945,0.779466716,868,1.5,12,0.00233667,-0.00761,898.6,4,101,33.65433,35.75511
33.65666667,35.7475,945,0.779466716,868,1.5,12,0.00233667,-0.00761,898.6,4,102,33.65433,35.75511
33.65666667,35.7475,945,0.779466716,868,1.5,12,0.00233667,-0.00761,898.6,4,102,33.65433,35.75511
33.65666667,35.7475,945,0.779466716,868,1.5,12,0.00233667,-0.00761,898.6,4,101,33.65433,35.75511
33.65666667,35.7475,945,0.779466716,868,1.5,12,0.00233667,-0.00761,898.6,4,104,33.65433,35.75511
33.65666667,35.7475,945,0.779466716,868,1.5,12,0.00233667,-0.00761,898.6,4,101,33.65433,35.75511
33.65666667,35.7475,945,0.779466716,868,1.5,12,0.00233667,-0.00761,898.6,4,103,33.65433,35.75511
33.65666667,35.7475,945,0.779466716,868,1.5,12,0.00233667,-0.00761,898.6,4,101,33.65433,35.75511
33.65666667,35.7475,945,0.779466716,868,1.5,12,0.00233667,-0.00761,898.6,4,103,33.65433,35.75511
33.65666667,35.7475,945,0.779466716,868,1.5,12,0.00233667,-0.00761,898.6,4,102,33.65433,35.75511
33.65666667,35.7475,945,0.779466716,868,1.5,12,0.00233667,-0.00761,898.6,4,105,33.65433,35.75511
33.65666667,35.7475,945,0.779466716,868,1.5,12,0.00233667,-0.00761,898.6,4,102,33.65433,35.75511
33.65666667,35.7475,945,0.779466716,868,1.5,12,0.00233667,-0.00761,898.6,4,105,33.65433,35.75511
33.65666667,35.7475,945,0.779466716,868,1.5,12,0.00233667,-0.00761,898.6,4,101,33.65433,35.75511
33.65666667,35.7475,945,0.779466716,868,1.5,12,0.00233667,-0.00761,898.6,4,103,33.65433,35.75511
33.65666667,35.7475,945,0.779466716,868,1.5,12,0.00233667,-0.00761,898.6,4,100,33.65433,35.75511
33.65666667,35.7475,945,0.779466716,868,1.5,12,0.00233667,-0.00761,898.6,4,103,33.65433,35.75511
33.65666667,35.7475,945,0.779466716,868,1.5,12,0.00233667,-0.00761,898.6,4,101,33.65433,35.75511
33.65666667,35.7475,945,0.779466716,868,1.5,12,0.00233667,-0.00761,898.6,4,101,33.65433,35.75511
33.65666667,35.7475,945,0.779466716,868,1.5,12,0.00233667,-0.00761,898.6,4,102,33.65433,35.75511
